YEAR,DOY,SR,T2M_MIN,T2M_MAX,RH2M,WS2M
2021,121,20.11,21.73,35.15,58.25,0.16
2021,122,18.64,20.67,33.87,58.12,0.23
2021,123,9.56,20.55,30.67,72.06,0.15
2021,124,15.17,19.55,30.66,71.38,0.16
2021,125,15.16,20.62,30.18,69.62,0.16
2021,126,13.75,18.95,31.53,64.19,0.16
2021,127,12.25,18.47,32.54,65,0.18
2021,128,13.96,19.8,32.21,65.25,0.26
2021,129,21.15,19.08,33.63,64.94,0.13
2021,130,19.12,19.5,32.14,68.06,0.05
2021,131,16.36,19.09,31.15,71.5,0.13
2021,132,11.36,20.43,27.92,78.5,0.15
2021,133,10.1,18.58,29.48,79.38,0.08
2021,134,13.94,19.86,31.37,79.31,0.05
2021,135,14.46,19.74,32.52,72.38,0.06
2021,136,19.22,20.33,32.56,70.25,0.09
2021,137,13.88,20.92,34.17,72.44,0.05
2021,138,9.02,22.31,34.51,71,0.06
2021,139,13.95,22.94,33.92,74.94,0.06
2021,140,11.81,24.5,34.87,74.69,0.07
2021,141,17.01,24.6,30.93,78,0.06
2021,142,18.18,24.64,33.07,72.44,0.05
2021,143,25.65,23.94,36.66,67.94,0.04
2021,144,19.41,24.04,34.67,72.44,0.09
2021,145,20.5,23.98,36.35,71.88,0.08
2021,146,18.52,23.45,36.03,73.69,0.06
2021,147,17.89,23.56,36.05,66,0.09
2021,148,13.59,23.82,35.51,63.31,0.11
2021,149,22.43,23.12,36.68,62.44,0.09
2021,150,16.87,21.91,35.78,69.44,0.03
2021,151,12.03,22.93,32.4,77.69,0.02
2021,152,7.87,22.5,33.37,74.62,0.03
2021,153,11.73,22.1,31.42,76.94,0.02
2021,154,15.57,21.41,33.76,73.88,0.02
2021,155,10.97,23.54,32.34,80,0.02
2021,156,9.02,23.01,30.79,80.19,0.02
2021,157,10.13,22.58,33.2,77.75,0.03
2021,158,13.04,21.54,33.25,77.44,0.02
2021,159,14.03,22.59,32.94,75.56,0.05
2021,160,18.61,22.55,33.23,74.88,0.08
2021,161,14.54,22.95,29.6,85.38,0.03
2021,162,12.4,22.98,29.82,86.06,0.05
2021,163,16.3,22.5,33.68,76.94,0.07
2021,164,20.39,23.46,34.86,72.31,0.09
2021,165,20.52,23.78,31.56,82.88,0.05
2021,166,20.44,22.65,35.48,76.88,0.03
2021,167,16.5,24.36,33.5,77.81,0.09
2021,168,18.88,23.55,34.76,74.25,0.1
2021,169,16.76,23.31,33.15,77.38,0.05
2021,170,13.74,22.71,33.18,77.94,0.05
2021,171,20.48,21.69,33.17,77.62,0.02
2021,172,20.88,21.47,33.17,77.44,0.02
2021,173,19.75,22.18,32.98,80.06,0.02
2021,174,19.96,23.26,32.85,82.06,0.02
2021,175,17.59,23.16,30.01,83.44,0.01
2021,176,20.27,22.55,33.43,77.06,0.01
2021,177,17.98,22.42,33.91,76.31,0.01
2021,178,15.09,23.56,32.83,76.75,0.01
2021,179,10.3,22.89,30.3,79.44,0.02
2021,180,7.97,23.23,28.87,81.81,0.01
2021,181,6.57,23.44,32.49,79.06,0.01
2021,182,11.92,23.12,32.88,77.25,0.01
2021,183,5.55,22.32,32.37,74.88,0.02
2021,184,10.95,22.79,31.62,77.31,0.01
2021,185,18.83,22.67,33.03,76.69,0.02
2021,186,17.23,22.17,33.62,77.81,0.01
2021,187,12.97,22.99,33.59,78.06,0.02
2021,188,14.42,23.86,28.49,90.69,0.02
2021,189,17.42,23.5,33.59,76.31,0.12
2021,190,18.63,24.73,34.44,78.94,0.08
2021,191,9.55,24.62,29.29,90.5,0.08
2021,192,19.29,23.79,32.71,82.38,0.05
2021,193,20.74,23.69,37,78.12,0.07
2021,194,16.77,23.83,33.42,82.06,0.01
2021,195,13.7,23.13,30.26,87.12,0
2021,196,18.83,22.48,32.26,79.94,0.01
2021,197,20.45,23.19,30.82,86.19,0.01
2021,198,13.49,22.28,30.16,86.88,0.03
2021,199,15.28,23.53,29.35,87,0.05
2021,200,13.69,23.73,31.06,86.06,0.03
2021,201,18.57,23.55,29.96,85.94,0.09
2021,202,16.43,24.69,34.32,76.38,0.12
2021,203,22.38,23.95,35.34,74.31,0.06
2021,204,18.43,23.48,34.76,75.25,0.01
2021,205,22.14,24.19,35.29,76.81,0.01
2021,206,18.21,23.93,32.67,78.94,0
2021,207,18.56,24.3,32.48,80.69,0.05
2021,208,16.83,25.42,33,79.12,0.12
2021,209,22.18,24.51,36.5,72.81,0.04
2021,210,15.59,23.28,32.23,82.69,0.03
2021,211,12.58,24.04,30.59,86.38,0.06
2021,212,13.24,23.22,29.68,87.19,0.02
2021,213,14.7,22.97,31.89,81.44,0.05
2021,214,18.53,23.56,31.89,84.62,0.04
2021,215,18.62,23.67,32.05,83.88,0.09
2021,216,20.93,24.1,35.5,71.19,0.15
2021,217,21.32,23.77,36.58,72,0.13
2021,218,18.49,23.73,35.1,77.38,0.03
2021,219,8.15,23.69,31.22,87.12,0.01
2021,220,19,22.82,32.37,81.44,0
2021,221,13.59,24.37,33.37,78.88,0
2021,222,12.1,23.73,29.88,84.31,0
2021,223,13.37,23.55,33.42,83.62,0
2021,224,13.07,23.37,28.15,90,0
2021,225,11.46,23,31.42,83.12,0
2021,226,9.03,22.57,32.08,83.38,0
2021,227,14.05,23.07,32.98,80.69,0.05
2021,228,13.35,23.52,29.08,89,0
2021,229,9.65,22.83,29.38,87,0.02
2021,230,13.69,21.51,31.31,82.62,0.02
2021,231,11.51,22.5,30.83,85.06,0
2021,232,11.98,21.53,31.64,82.19,0
2021,233,17.39,23.36,30.19,85.81,0
2021,234,12.72,23,31.96,83.94,0
2021,235,10.99,22.04,31.93,83.75,0
2021,236,13.75,23.25,31.4,84.62,0
2021,237,12.03,22.32,30.43,85.69,0.02
2021,238,15.12,23.2,30.71,87.25,0.05
2021,239,12.27,23.56,28.33,88.94,0.05
2021,240,16.97,23.4,29.12,85.25,0.1
2021,241,15.72,23.17,30.97,84.44,0.12
2021,242,16.27,22.67,30.33,85.25,0.05
2021,243,19.28,23.33,27.29,91.38,0.09
2021,244,14.53,23.05,29.71,88.5,0.09
2021,245,15.64,23.48,31.06,83.88,0.09
