Year,DOY,SolarRadiation,MaxTemp,MaxTemp,RH,WindSpeed,ETo,ETc,Stage,CWR
2021,121,20.11,21.73,35.15,58.25,0.16,4.962,2.481,1,0.689
2021,122,18.64,20.67,33.87,58.12,0.23,4.587,2.294,1,0.637
2021,123,9.56,20.55,30.67,72.06,0.15,2.297,1.148,1,0.319
2021,124,15.17,19.55,30.66,71.38,0.16,3.568,1.784,1,0.496
2021,125,15.16,20.62,30.18,69.62,0.16,3.591,1.796,1,0.499
2021,126,13.75,18.95,31.53,64.19,0.16,3.276,1.638,1,0.455
2021,127,12.25,18.47,32.54,65,0.18,2.946,1.473,1,0.409
2021,128,13.96,19.8,32.21,65.25,0.26,3.405,1.702,1,0.473
2021,129,21.15,19.08,33.63,64.94,0.13,5.029,2.514,1,0.698
2021,130,19.12,19.5,32.14,68.06,0.05,4.491,2.246,1,0.624
2021,131,16.36,19.09,31.15,71.5,0.13,3.83,1.915,1,0.532
2021,132,11.36,20.43,27.92,78.5,0.15,2.637,1.318,1,0.366
2021,133,10.1,18.58,29.48,79.38,0.08,2.323,1.162,1,0.323
2021,134,13.94,19.86,31.37,79.31,0.05,3.261,1.63,1,0.453
2021,135,14.46,19.74,32.52,72.38,0.06,3.416,1.708,1,0.474
2021,136,19.22,20.33,32.56,70.25,0.09,4.56,2.28,1,0.633
2021,137,13.88,20.92,34.17,72.44,0.05,3.337,1.668,1,0.463
2021,138,9.02,22.31,34.51,71,0.06,2.21,1.105,1,0.307
2021,139,13.95,22.94,33.92,74.94,0.06,3.391,1.696,1,0.471
2021,140,11.81,24.5,34.87,74.69,0.07,2.923,1.462,1,0.406
2021,141,17.01,24.6,30.93,78,0.06,4.093,2.046,1,0.568
2021,142,18.18,24.64,33.07,72.44,0.05,4.434,2.217,1,0.616
2021,143,25.65,23.94,36.66,67.94,0.04,6.344,3.172,1,0.881
2021,144,19.41,24.04,34.67,72.44,0.09,4.77,2.385,1,0.662
2021,145,20.5,23.98,36.35,71.88,0.08,5.076,2.538,1,0.705
2021,146,18.52,23.45,36.03,73.69,0.06,4.56,2.28,1,0.633
2021,147,17.89,23.56,36.05,66,0.09,4.437,2.218,1,0.616
2021,148,13.59,23.82,35.51,63.31,0.11,3.404,1.702,1,0.473
2021,149,22.43,23.12,36.68,62.44,0.09,5.558,2.779,1,0.772
2021,150,16.87,21.91,35.78,69.44,0.03,4.109,2.054,1,0.571
2021,151,12.03,22.93,32.4,77.69,0.02,2.888,1.444,1,0.401
2021,152,7.87,22.5,33.37,74.62,0.03,1.905,0.952,1,0.264
2021,153,11.73,22.1,31.42,76.94,0.02,2.785,1.392,1,0.387
2021,154,15.57,21.41,33.76,73.88,0.02,3.732,1.866,1,0.518
2021,155,10.97,23.54,32.34,80,0.02,2.642,1.321,1,0.367
2021,156,9.02,23.01,30.79,80.19,0.02,2.147,1.074,1,0.298
2021,157,10.13,22.58,33.2,77.75,0.03,2.443,1.222,1,0.339
2021,158,13.04,21.54,33.25,77.44,0.02,3.118,1.559,1,0.433
2021,159,14.03,22.59,32.94,75.56,0.05,3.38,1.69,1,0.469
2021,160,18.61,22.55,33.23,74.88,0.08,4.488,2.244,1,0.623
2021,161,14.54,22.95,29.6,85.38,0.03,3.425,1.712,1,0.476
2021,162,12.4,22.98,29.82,86.06,0.05,2.928,1.464,1,0.407
2021,163,16.3,22.5,33.68,76.94,0.07,3.939,1.97,1,0.547
2021,164,20.39,23.46,34.86,72.31,0.09,4.995,2.498,1,0.694
2021,165,20.52,23.78,31.56,82.88,0.05,4.917,2.458,1,0.683
2021,166,20.44,22.65,35.48,76.88,0.03,4.981,2.49,1,0.692
2021,167,16.5,24.36,33.5,77.81,0.09,4.032,2.016,1,0.56
2021,168,18.88,23.55,34.76,74.25,0.1,4.627,2.314,1,0.643
2021,169,16.76,23.31,33.15,77.38,0.05,4.053,2.026,1,0.563
2021,170,13.74,22.71,33.18,77.94,0.05,3.315,1.658,1,0.461
2021,171,20.48,21.69,33.17,77.62,0.02,4.894,2.447,1,0.68
2021,172,20.88,21.47,33.17,77.44,0.02,4.983,2.492,1,0.692
2021,173,19.75,22.18,32.98,80.06,0.02,4.728,2.364,1,0.657
2021,174,19.96,23.26,32.85,82.06,0.02,4.805,2.402,1,0.667
2021,175,17.59,23.16,30.01,83.44,0.01,4.158,2.079,1,0.578
2021,176,20.27,22.55,33.43,77.06,0.01,4.876,2.438,1,0.677
2021,177,17.98,22.42,33.91,76.31,0.01,4.335,2.168,1,0.602
2021,178,15.09,23.56,32.83,76.75,0.01,3.641,1.82,1,0.506
2021,179,10.3,22.89,30.3,79.44,0.02,2.441,1.22,1,0.339
2021,180,7.97,23.23,28.87,81.81,0.01,1.874,0.937,1,0.26
2021,181,6.57,23.44,32.49,79.06,0.01,1.583,0.792,1,0.22
2021,182,11.92,23.12,32.88,77.25,0.01,2.87,1.435,1,0.399
2021,183,5.55,22.32,32.37,74.88,0.02,1.334,0.667,1,0.185
2021,184,10.95,22.79,31.62,77.31,0.01,2.612,1.306,1,0.363
2021,185,18.83,22.67,33.03,76.69,0.02,4.525,2.262,1,0.628
2021,186,17.23,22.17,33.62,77.81,0.01,4.141,2.07,1,0.575
2021,187,12.97,22.99,33.59,78.06,0.02,3.135,1.568,1,0.436
2021,188,14.42,23.86,28.49,90.69,0.02,3.389,1.694,1,0.471
2021,189,17.42,23.5,33.59,76.31,0.12,4.244,2.122,1,0.589
2021,190,18.63,24.73,34.44,78.94,0.08,4.576,2.288,1,0.636
2021,191,9.55,24.62,29.29,90.5,0.08,2.271,1.136,1,0.316
2021,192,19.29,23.79,32.71,82.38,0.05,4.655,2.328,1,0.647
2021,193,20.74,23.69,37,78.12,0.07,5.128,2.564,1,0.712
2021,194,16.77,23.83,33.42,82.06,0.01,4.064,2.032,1,0.564
2021,195,13.7,23.13,30.26,87.12,0,3.243,1.622,1,0.451
2021,196,18.83,22.48,32.26,79.94,0.01,4.496,2.248,1,0.624
2021,197,20.45,23.19,30.82,86.19,0.01,4.859,2.43,1,0.675
2021,198,13.49,22.28,30.16,86.88,0.03,3.174,1.587,1,0.441
2021,199,15.28,23.53,29.35,87,0.05,3.605,1.802,1,0.501
